date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,all_time_high,all_time_high_flag
1967-09-13,76.54,Nasdaq Composite,1967,9,13,196709,19673,196737,1.0108293713681986,False,0.05,0.5304347826086957,0.0,644.6635645618345,645.1939993444432,211.8695652173913,2.037636531753499,76.54,True
1967-09-14,76.74,Nasdaq Composite,1967,9,14,196709,19673,196737,1.0026130128037627,False,0.05,0.5804347826086956,0.0,646.3480787101539,646.9285134927626,211.8695652173913,2.045085966075606,76.74,True
1967-09-15,76.82,Nasdaq Composite,1967,9,15,196709,19673,196737,1.00104248110503,False,0.05,0.6304347826086957,0.0,647.0218843694817,647.6523191520904,211.8695652173913,2.047775619539249,76.82,True
1967-09-18,77.06,Nasdaq Composite,1967,9,18,196709,19673,196738,1.0031241864097893,False,0.05,0.6804347826086957,0.0,649.0433013474651,649.7237361300738,211.8695652173913,2.0568042160906788,77.06,True
1967-09-19,76.8,Nasdaq Composite,1967,9,19,196709,19673,196738,0.9966260057098364,True,0.05,0.7304347826086957,0.7304347826086957,647.5838677372585,647.5838677372585,212.6,2.046020074022853,77.06,False
1967-09-20,76.8,Nasdaq Composite,1967,9,20,196709,19673,196738,1.0,False,0.05,0.05,0.0,647.5838677372585,647.6338677372585,212.6,2.0455389971185443,77.06,False
1967-09-21,77.33,Nasdaq Composite,1967,9,21,196709,19673,196738,1.0069010416666666,False,0.05,0.1,0.0,652.0528709911745,652.1528709911745,212.6,2.066068975040783,77.33,True
1967-09-22,77.56,Nasdaq Composite,1967,9,22,196709,19673,196738,1.002974266132161,False,0.05,0.15000000000000002,0.0,653.9922497617418,654.1422497617418,212.6,2.0746991763184104,77.56,True
1967-09-25,78.06,Nasdaq Composite,1967,9,25,196709,19673,196739,1.0064466219700876,False,0.05,0.2,0.0,658.2082905673228,658.4082905673229,212.6,2.0940239218389234,78.06,True
1967-09-26,77.42,Nasdaq Composite,1967,9,26,196709,19673,196739,0.991801178580579,False,0.05,0.25,0.0,652.811758336179,653.061758336179,212.6,2.0681783337382145,78.06,False
1967-09-27,77.48,Nasdaq Composite,1967,9,27,196709,19673,196739,1.0007749935417205,False,0.05,0.30000000000000004,0.0,653.3176832328488,653.6176832328488,212.6,2.07006896774471,78.06,False
1967-09-28,77.51,Nasdaq Composite,1967,9,28,196709,19673,196739,1.0003871966959215,False,0.05,0.35000000000000003,0.0,653.5706456811836,653.9206456811836,212.6,2.0707708179440414,78.06,False
1967-09-29,77.47,Nasdaq Composite,1967,9,29,196709,19673,196739,0.9994839375564443,False,0.05,0.4,0.0,653.2333624167371,653.6333624167371,212.6,2.0687012320034603,78.06,False
1967-10-02,77.19,Nasdaq Composite,1967,10,2,196710,19674,196740,0.9963856976894282,True,0.045454545454545456,0.4454545454545455,0.4454545454545455,651.3178341110663,651.3178341110663,213.04545454545453,2.057177800393313,78.06,False
1967-10-03,77.49,Nasdaq Composite,1967,10,3,196710,19674,196740,1.003886513797124,False,0.045454545454545456,0.045454545454545456,0.0,653.8491898596519,653.8946444051064,213.04545454545453,2.0686182117987078,78.06,False
1967-10-04,77.34,Nasdaq Composite,1967,10,4,196710,19674,196740,0.9980642663569494,False,0.045454545454545456,0.09090909090909091,0.0,652.5835119853593,652.6744210762685,213.04545454545453,2.062238699867329,78.06,False
1967-10-05,77.56,Nasdaq Composite,1967,10,5,196710,19674,196740,1.0028445823635894,False,0.045454545454545456,0.13636363636363635,0.0,654.439839534322,654.5762031706856,213.04545454545453,2.0705067099691012,78.06,False
